cod_ref;mes;ano;CISP;AISP;RISP;munic;Regiao;hom_doloso;lesao_corp_morte;latrocinio;hom_por_interv_policial;estupro;roubo_veiculo;furto_veiculos;sequestro;sequestro_relampago;recuperacao_veiculos;pol_militares_mortos_serv;pol_civis_mortos_serv
2003m01c1;1;2003;1;5;1;Rio de Janeiro;Capital;0;0;0;0;0;5;12;0;0;5;0;0
2003m01c4;1;2003;4;5;1;Rio de Janeiro;Capital;3;0;0;0;1;9;9;0;0;7;0;0
2003m01c5;1;2003;5;5;1;Rio de Janeiro;Capital;3;0;0;0;2;11;28;0;0;10;0;0
2003m01c6;1;2003;6;1;1;Rio de Janeiro;Capital;6;0;0;0;2;27;17;0;0;77;0;0
2003m01c7;1;2003;7;1;1;Rio de Janeiro;Capital;4;0;0;0;2;23;12;0;0;9;0;0
2003m01c9;1;2003;9;2;1;Rio de Janeiro;Capital;1;1;0;0;0;30;87;0;0;20;0;0
2003m01c10;1;2003;10;2;1;Rio de Janeiro;Capital;1;0;0;0;1;20;78;0;0;19;0;0
2003m01c12;1;2003;12;19;1;Rio de Janeiro;Capital;2;0;0;1;1;3;15;0;0;6;0;0
2003m01c13;1;2003;13;19;1;Rio de Janeiro;Capital;0;0;0;0;0;6;19;0;0;14;0;0
2003m01c14;1;2003;14;23;1;Rio de Janeiro;Capital;0;0;0;0;1;19;30;0;0;12;0;0
2003m01c15;1;2003;15;23;1;Rio de Janeiro;Capital;0;0;0;0;0;9;8;0;0;16;0;0
2003m01c16;1;2003;16;36;6;Rio de Janeiro;Capital;3;0;1;0;7;48;40;0;0;22;0;0
2003m01c17;1;2003;17;4;1;Rio de Janeiro;Capital;5;0;0;1;2;33;19;0;0;58;0;0
2003m01c18;1;2003;18;6;1;Rio de Janeiro;Capital;3;0;0;0;1;42;32;0;0;18;0;0
2003m01c19;1;2003;19;6;1;Rio de Janeiro;Capital;0;0;0;1;0;64;36;0;0;21;0;0
2003m01c20;1;2003;20;6;1;Rio de Janeiro;Capital;2;0;0;2;1;47;56;0;0;43;0;0
2003m01c21;1;2003;21;22;1;Rio de Janeiro;Capital;23;0;0;8;2;166;51;0;0;159;1;1
2003m01c22;1;2003;22;16;1;Rio de Janeiro;Capital;2;0;0;0;1;131;64;0;0;103;0;0
2003m01c23;1;2003;23;3;1;Rio de Janeiro;Capital;1;0;0;0;0;124;49;1;0;70;0;0
2003m01c24;1;2003;24;3;1;Rio de Janeiro;Capital;3;0;0;1;1;78;18;0;0;60;0;0
2003m01c25;1;2003;25;3;1;Rio de Janeiro;Capital;3;0;0;2;3;118;12;0;0;127;0;0
2003m01c26;1;2003;26;3;1;Rio de Janeiro;Capital;0;0;0;0;0;0;0;0;0;0;0;0
2003m01c27;1;2003;27;9;2;Rio de Janeiro;Capital;7;0;0;2;2;148;51;0;0;54;0;0
2003m01c28;1;2003;28;9;2;Rio de Janeiro;Capital;2;0;1;3;1;54;18;0;0;36;0;0
2003m01c29;1;2003;29;9;2;Rio de Janeiro;Capital;10;0;0;1;2;45;19;0;0;24;0;0
2003m01c30;1;2003;30;9;2;Rio de Janeiro;Capital;3;0;1;5;2;96;30;0;0;32;0;0
2003m01c31;1;2003;31;14;2;Rio de Janeiro;Capital;1;0;0;0;0;3;0;0;0;1;0;0
2003m01c32;1;2003;32;18;2;Rio de Janeiro;Capital;6;1;0;0;7;52;18;0;0;54;0;0
2003m01c33;1;2003;33;14;2;Rio de Janeiro;Capital;8;0;2;0;0;62;24;0;0;32;0;0
2003m01c34;1;2003;34;14;2;Rio de Janeiro;Capital;14;0;0;15;11;93;50;0;0;96;1;1
2003m01c35;1;2003;35;31;2;Rio de Janeiro;Capital;32;0;1;0;14;93;54;0;0;62;0;0
2003m01c36;1;2003;36;27;2;Rio de Janeiro;Capital;22;0;1;3;4;26;10;0;0;23;0;0
2003m01c37;1;2003;37;17;1;Rio de Janeiro;Capital;3;0;0;2;3;82;14;0;0;68;0;0
2003m01c38;1;2003;38;16;1;Rio de Janeiro;Capital;1;0;0;1;1;142;38;0;0;90;0;0
2003m01c39;1;2003;39;9;2;Rio de Janeiro;Capital;20;1;1;5;3;135;23;0;0;92;1;0
